Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1945,41.899999999999999,42.200000000000003,43.200000000000003,46.700000000000003,57,58.799999999999997,65.299999999999997,63.799999999999997,56.700000000000003,52.399999999999999,43.200000000000003,39
1946,39.299999999999997,41.299999999999997,43.200000000000003,47.899999999999999,57.200000000000003,58.100000000000001,64.5,63.600000000000001,58.700000000000003,47.700000000000003,40.600000000000001,38.899999999999999
1947,35,43.899999999999999,47.600000000000001,51.100000000000001,57.799999999999997,59.799999999999997,63.600000000000001,62.799999999999997,59.100000000000001,51.899999999999999,43.100000000000001,42
1948,38,38.899999999999999,42.899999999999999,45.5,52.899999999999999,61.700000000000003,62.399999999999999,61.200000000000003,57.100000000000001,50.399999999999999,42.100000000000001,36
1949,29.899999999999999,37.299999999999997,45.5,50.100000000000001,57.299999999999997,59.100000000000001,62.600000000000001,63.700000000000003,60.799999999999997,48.600000000000001,49.399999999999999,38.399999999999999
1950,24.899999999999999,40,42,46.399999999999999,51.600000000000001,60.100000000000001,63.600000000000001,63.799999999999997,57.799999999999997,49.200000000000003,43.600000000000001,44.799999999999997
1951,36.899999999999999,40.700000000000003,39.299999999999997,49.5,54.200000000000003,61.100000000000001,64.400000000000006,61.600000000000001,59,50.799999999999997,44.5,36.399999999999999
1952,36.399999999999999,40.600000000000001,42.299999999999997,48.5,54,56.5,63.399999999999999,63,59.200000000000003,54.299999999999997,41,41.600000000000001
1953,44.299999999999997,40.200000000000003,43,46.799999999999997,52.600000000000001,55.5,61.799999999999997,62.700000000000003,59.700000000000003,53.200000000000003,46.700000000000003,42.299999999999997
1954,36,42.200000000000003,40.700000000000003,45.600000000000001,53.899999999999999,56.299999999999997,60.100000000000001,60.600000000000001,58.700000000000003,50.600000000000001,49,40.700000000000003
1955,39.100000000000001,38.200000000000003,39.100000000000001,44.600000000000001,50.700000000000003,58,60,60.899999999999999,57,50.399999999999999,38.899999999999999,38.299999999999997
1956,39,35.600000000000001,40.799999999999997,49.600000000000001,56.799999999999997,56.899999999999999,64.599999999999994,62.899999999999999,57.899999999999999,49.5,42.600000000000001,40.200000000000003
1957,32.600000000000001,39.5,44.399999999999999,50.100000000000001,57.899999999999999,60.299999999999997,61.799999999999997,61.600000000000001,62.700000000000003,50.700000000000003,43.5,43.600000000000001
1958,43.600000000000001,47.5,44,49.200000000000003,60.399999999999999,63.899999999999999,68.799999999999997,66.5,59.799999999999997,53.899999999999999,43.399999999999999,44.899999999999999
1959,40.799999999999997,41,44.200000000000003,49.600000000000001,53.5,59.600000000000001,66,62.299999999999997,57.399999999999999,52,43.899999999999999,40.299999999999997
1960,38.899999999999999,41.200000000000003,43.5,49.200000000000003,52.700000000000003,59.5,66.700000000000003,62.200000000000003,58,52.700000000000003,44.5,39.5
1961,43.600000000000001,44.399999999999999,45.200000000000003,47,53.799999999999997,63.399999999999999,67,68.400000000000006,58.700000000000003,50.799999999999997,41.899999999999999,39.299999999999997
1962,38.399999999999999,43,43.299999999999997,49.899999999999999,50.600000000000001,59.899999999999999,63.5,62,59.600000000000001,52.5,46.5,42.200000000000003
1963,33.899999999999999,48.200000000000003,43.799999999999997,48.299999999999997,57.700000000000003,59.899999999999999,62.399999999999999,64.5,63.5,54.5,44.399999999999999,40.700000000000003
1964,39.899999999999999,41.299999999999997,44.100000000000001,46.799999999999997,53.200000000000003,57.899999999999999,63.5,62.600000000000001,58.5,53.5,42.100000000000001,36.399999999999999
1965,40.200000000000003,42.899999999999999,47,49.5,51.899999999999999,60.799999999999997,67.700000000000003,65.700000000000003,58.299999999999997,56.399999999999999,49.399999999999999,40.399999999999999
1966,41.100000000000001,43.899999999999999,45.100000000000001,50,54.5,58.700000000000003,62.100000000000001,64.5,61.5,51.399999999999999,45.399999999999999,43.5
1967,42.299999999999997,42.799999999999997,42.100000000000001,46.5,55.399999999999999,62.700000000000003,66.400000000000006,71.099999999999994,65.700000000000003,54.799999999999997,47.299999999999997,41.5
1968,40.899999999999999,48.5,48.600000000000001,48.600000000000001,57.299999999999997,60.700000000000003,67,63.600000000000001,59.100000000000001,51.399999999999999,46.799999999999997,36.600000000000001
1969,33.100000000000001,42.299999999999997,46.899999999999999,48.899999999999999,58,64.299999999999997,64.700000000000003,64,60.899999999999999,52.399999999999999,46.600000000000001,45.200000000000003
1970,41.200000000000003,47,46,46.100000000000001,54.700000000000003,62.700000000000003,64.900000000000006,64.5,58.600000000000001,50.700000000000003,46.5,38.899999999999999
1971,39.700000000000003,42.299999999999997,41.299999999999997,48.899999999999999,54.5,55.899999999999999,65.5,67.700000000000003,57.600000000000001,50.899999999999999,45.700000000000003,37.5
1972,36.899999999999999,41.399999999999999,46.799999999999997,47,58.299999999999997,60,66,66.700000000000003,55.299999999999997,50.100000000000001,46.700000000000003,38.100000000000001
1973,38.700000000000003,43.899999999999999,44.100000000000001,48.600000000000001,56.5,59.299999999999997,64.700000000000003,61.600000000000001,61.799999999999997,52.200000000000003,43.700000000000003,44.399999999999999
1974,38.700000000000003,43.100000000000001,46.299999999999997,50.299999999999997,54.899999999999999,62.600000000000001,64,64.599999999999994,64.400000000000006,52.5,45.100000000000001,42.399999999999999
1975,38.700000000000003,40.799999999999997,42.899999999999999,45.799999999999997,54.600000000000001,60.700000000000003,67.5,63.200000000000003,63,51.399999999999999,44.899999999999999,41.5
1976,41.700000000000003,40.899999999999999,41.200000000000003,49.5,56.399999999999999,60,65.900000000000006,64.099999999999994,62.5,54.899999999999999,47.799999999999997,44.700000000000003
1977,39.399999999999999,48.700000000000003,45.700000000000003,53.600000000000001,54.5,63,65.099999999999994,68.5,58.899999999999999,52.200000000000003,43.899999999999999,42.100000000000001
1978,44.399999999999999,46,48.600000000000001,49.899999999999999,54.5,64.299999999999997,65.799999999999997,65.400000000000006,58.799999999999997,54.299999999999997,41.200000000000003,37.5
1979,37.799999999999997,42.299999999999997,49.299999999999997,50.799999999999997,57.200000000000003,62.5,67.400000000000006,63.899999999999999,62.600000000000001,54.200000000000003,43.899999999999999,44.100000000000001
1980,34.799999999999997,43.799999999999997,44.299999999999997,51.600000000000001,54.200000000000003,57.5,63.799999999999997,61.899999999999999,59.600000000000001,53.799999999999997,46.700000000000003,44
1981,44.399999999999999,44.200000000000003,48.799999999999997,49.600000000000001,54.700000000000003,57.5,63.299999999999997,68.099999999999994,61,50.899999999999999,47.100000000000001,41.700000000000003
1982,39.299999999999997,42.100000000000001,44,47.399999999999999,54.600000000000001,63.100000000000001,62.799999999999997,65.099999999999994,60.600000000000001,52.700000000000003,43.200000000000003,40.700000000000003
1983,44.899999999999999,46.899999999999999,49.299999999999997,50.700000000000003,57.700000000000003,59.899999999999999,63.200000000000003,65.599999999999994,58.299999999999997,51.600000000000001,47.700000000000003,36.100000000000001
1984,43.200000000000003,44.799999999999997,48.5,48.700000000000003,52.899999999999999,58.799999999999997,65,64.900000000000006,59.899999999999999,49.700000000000003,44.600000000000001,36.799999999999997
1985,37.100000000000001,39,43.299999999999997,49.100000000000001,54.799999999999997,60,68.599999999999994,65.099999999999994,58.100000000000001,51.399999999999999,35.799999999999997,36.100000000000001
1986,44.899999999999999,42.799999999999997,49.200000000000003,48.100000000000001,55.700000000000003,62.600000000000001,61.700000000000003,68.400000000000006,59.100000000000001,54.299999999999997,45.299999999999997,41.899999999999999
1987,40.5,46.200000000000003,48.899999999999999,52,56.899999999999999,62.600000000000001,64.200000000000003,66.099999999999994,62.5,55.700000000000003,48.5,39.200000000000003
1988,40,44.399999999999999,45.600000000000001,50.299999999999997,54.799999999999997,59.600000000000001,65.299999999999997,65.400000000000006,60.5,55.399999999999999,45.399999999999999,41.899999999999999
1989,40.5,35.899999999999999,43.700000000000003,53.399999999999999,56,63.200000000000003,64.5,65.200000000000003,64,53.100000000000001,46.899999999999999,42.899999999999999
1990,42.5,39.899999999999999,47.100000000000001,52.100000000000001,54.600000000000001,59.799999999999997,68,67.200000000000003,63.399999999999999,51.200000000000003,46.5,35.200000000000003
1991,40,47.700000000000003,44.100000000000001,49.100000000000001,54.299999999999997,58.799999999999997,66.799999999999997,66.599999999999994,62.799999999999997,52.899999999999999,47.299999999999997,43.700000000000003
1992,43.899999999999999,47.299999999999997,50.299999999999997,53.100000000000001,59.799999999999997,64.900000000000006,66.700000000000003,66.799999999999997,60,54.399999999999999,45.5,38.799999999999997
1993,37.899999999999999,42.299999999999997,48.100000000000001,50.5,59.600000000000001,60.5,61.100000000000001,65.5,61.799999999999997,55.399999999999999,42,41.399999999999999
1994,44.899999999999999,40.399999999999999,48.5,52.299999999999997,58.100000000000001,60.600000000000001,67.900000000000006,67.299999999999997,64.299999999999997,52.799999999999997,42.399999999999999,41.700000000000003
1995,46.399999999999999,45.899999999999999,47.799999999999997,51.799999999999997,60.100000000000001,62.700000000000003,67,62.899999999999999,64,52.5,49.100000000000001,42.399999999999999
1996,39.700000000000003,43.100000000000001,47.200000000000003,51.5,53.100000000000001,60.399999999999999,67.799999999999997,66.400000000000006,59.200000000000003,51.100000000000001,43.100000000000001,39.200000000000003
1997,41.100000000000001,41.899999999999999,44.700000000000003,49.200000000000003,58.200000000000003,59.399999999999999,64.400000000000006,67.700000000000003,62.200000000000003,51.299999999999997,48.399999999999999,41.5
1998,42.200000000000003,45.700000000000003,46.600000000000001,50.399999999999999,54.799999999999997,59.899999999999999,67.599999999999994,66.799999999999997,63.100000000000001,52.600000000000001,46.700000000000003,39.899999999999999
1999,42,42.5,44.299999999999997,48.5,51.799999999999997,58.100000000000001,62.399999999999999,64.799999999999997,60.799999999999997,52.100000000000001,47.899999999999999,42
2000,40.299999999999997,43.700000000000003,44.5,50.899999999999999,53.799999999999997,60.600000000000001,64.299999999999997,63.5,60.200000000000003,52.799999999999997,42.5,40.700000000000003
2001,42,40.700000000000003,45.399999999999999,48,55.399999999999999,57.600000000000001,62.399999999999999,64.799999999999997,59.799999999999997,50.899999999999999,46.700000000000003,41.5
2002,40.700000000000003,41.799999999999997,41.899999999999999,48.799999999999997,53,61.100000000000001,65,65.200000000000003,60.600000000000001,51.399999999999999,47,43
2003,45.700000000000003,41.600000000000001,46.799999999999997,48.899999999999999,54.799999999999997,62.799999999999997,67.799999999999997,66.400000000000006,62.600000000000001,54.200000000000003,42.799999999999997,41.700000000000003
2004,40.299999999999997,44.5,47.600000000000001,53.299999999999997,57,63.299999999999997,68.099999999999994,67.099999999999994,58.799999999999997,53.299999999999997,45,42.5
2005,42.100000000000001,42.600000000000001,49,50.799999999999997,58.200000000000003,59.899999999999999,65.5,66.700000000000003,59.5,54,42.899999999999999,42.600000000000001
2006,46.600000000000001,42.899999999999999,45.5,50.299999999999997,56.799999999999997,63.100000000000001,67.5,65.900000000000006,62.299999999999997,52.299999999999997,44.200000000000003,40.600000000000001
2007,38,43.600000000000001,47.100000000000001,50.600000000000001,56.600000000000001,60.299999999999997,67.799999999999997,65.599999999999994,59.899999999999999,50.5,44.299999999999997,39.799999999999997
2008,38.700000000000003,43.899999999999999,43.5,47,56.100000000000001,58.399999999999999,64.900000000000006,65.900000000000006,61,51.600000000000001,49.200000000000003,36.899999999999999
2009,39,41.600000000000001,41.700000000000003,49.200000000000003,56.200000000000003,63.799999999999997,69.5,65.599999999999994,62.399999999999999,52.200000000000003,46.600000000000001,37.899999999999999
2010,47,46.799999999999997,47,49.5,53.200000000000003,58.299999999999997,64.5,65.400000000000006,60.899999999999999,53.299999999999997,43.200000000000003,43.200000000000003
2011,41.799999999999997,39.299999999999997,45.100000000000001,45.5,52.299999999999997,59.399999999999999,64.200000000000003,65.799999999999997,64,52.200000000000003,43.100000000000001,39.200000000000003
2012,39.700000000000003,43.200000000000003,43.100000000000001,50.799999999999997,55.299999999999997,58.299999999999997,64.299999999999997,67.900000000000006,62.700000000000003,53.799999999999997,46.899999999999999,41.5
2013,38.200000000000003,44.399999999999999,47.899999999999999,50.899999999999999,58.600000000000001,64.799999999999997,68,69.400000000000006,63.5,51.700000000000003,47.899999999999999,39.700000000000003
2014,44.299999999999997,41.700000000000003,48.5,52,59.100000000000001,62,69.200000000000003,69.099999999999994,64.799999999999997,58,46,45.299999999999997
2015,45.100000000000001,48.799999999999997,50.5,51.399999999999999,59.100000000000001,67.700000000000003,71.200000000000003,68.700000000000003,60.5,57.200000000000003,43.799999999999997,43
2016,43.700000000000003,47.399999999999999,49.399999999999999,56.700000000000003,59.799999999999997,63.5,66.799999999999997,68.700000000000003,61.200000000000003,54.799999999999997,50.899999999999999,38
2017,37.899999999999999,41.299999999999997,46,50.600000000000001,57.899999999999999,62.899999999999999,67.299999999999997,70.299999999999997,64.700000000000003,53.200000000000003,46.700000000000003,40
2018,45,41.100000000000001,46.299999999999997,51.299999999999997,61.200000000000003,62.600000000000001,70.700000000000003,68.799999999999997,62.299999999999997,53.799999999999997,48.600000000000001,44.200000000000003
2019,45,36.700000000000003,48.399999999999999,52.5,60.5,63.600000000000001,67.5,69.099999999999994,62.799999999999997,50.799999999999997,46.600000000000001,44.5
2020,45,43.600000000000001,44.799999999999997,52.299999999999997,59.299999999999997,61.799999999999997,67,67.900000000000006,65.5,54.299999999999997,46.299999999999997,44.399999999999999
2021,43.799999999999997,41.399999999999999,45.600000000000001,53,56.899999999999999,66.099999999999994,68,67.5,61.899999999999999,51.799999999999997,47.899999999999999,38
2022,41,42.100000000000001,46.899999999999999,47.100000000000001,52.600000000000001,61.100000000000001,68.799999999999997,70,64.799999999999997,57.600000000000001,41.899999999999999,38.799999999999997
2023,43.5,40.700000000000003,44.600000000000001,48.5,60.899999999999999,62,68.5,69.900000000000006,62,54.600000000000001,44.799999999999997,45.5
2024,41.600000000000001,44.299999999999997,47.100000000000001,50.299999999999997,55.600000000000001,61,69.799999999999997,66.5,62.600000000000001,54,46,44.200000000000003
2025,39.100000000000001,40.399999999999999,47.100000000000001,52.100000000000001,57,63,67.900000000000006,,,,,
,,,,,,,,,,,,

